"addon"
{

    "npc_dota_hero_juggernaut"          "魔君"     //
    "npc_dota_hero_sven"                "浪云"     //
    "npc_dota_hero_crystal_maiden" 	    "兰馨"     //
    "npc_dota_hero_lina" 			    "若蝶"     //
    "npc_dota_hero_kunkka" 			    "潇侠"     //
    "npc_dota_hero_windrunner" 		    "莫言"     //
    "npc_dota_hero_ancient_apparition"  "瑾轩"     //




	"MyUIButton"		"一个按钮"
    "KillSevenStrangesInProgress"           "还没有打败【江南七怪】吗？"
    "KillSevenStrangesFinish"               "这是给你的奖励。"

    "KillEighteenLuoHan"                    "历练2：十八罗汉阵"
    "KillEighteenLuoHanAccept"              "接到任务后打败少林【十八罗汉】，你必须前往任务指定的地点完成任务。"
    "KillEighteenLuoHanInProgress"          "还没有打败少林【十八罗汉】吗？"
    "KillEighteenLuoHanFinish"              "这是给你的奖励。"

    "KillShiEBuShe"                         "历练3：十恶不赦岛"
    "KillShiEBuSheAccept"                   "击杀至少100个【十恶不赦】完成任务。"
    "KillShiEBuSheInProgress"               "还没有击杀100个【十恶不赦】吗？"
    "KillShiEBuSheFinish"                   "这是给你的奖励。"

    "ChallengeGuangMingDing"                "历练4：勇闯光明顶"
    "ChallengeGuangMingDingAccept"          "击败【光明顶所有boss怪物】完成任务。"
    "ChallengeGuangMingDingInProgress"      "还没有打败【光明顶所有boss怪物】吗？"
    "ChallengeGuangMingDingFinish"          "这是给你的奖励。"

    "HuaShanLunJian"                        "历练5：华山论剑"
    "HuaShanLunJianAccept"                  "击败【四绝】完成任务。"
    "HuaShanLunJianInProgress"              "还没有击败【四绝】吗？"
    "HuaShanLunJianFinish"                  "这是给你的奖励。"

    "VisitHuangXiaoRong"                    "送信任务"
    "VisitHuangXiaoRongAccept"              "给【黄小蓉】送个信，我会给你些报酬。"
    "VisitHuangXiaoRongInProgress"           "还没有给【黄小蓉】送信吗？"
    "VisitHuangXiaoRongFinish"              "这是给你的奖励。"

    "VisitQiaoFeng"                         "送信任务"
    "VisitQiaoFengAccept"                   "给【乔峰】送个信，我会给你些报酬。"
    "VisitQiaoFengInProgress"               "还没有给【乔峰】送信吗？"
    "VisitQiaoFengFinish"                   "这是给你的奖励。"

    "VisitDaMo"                             "送信任务"
    "VisitDaMoAccept"                       "给【达摩祖师】送个信，我会给你些报酬。"
    "VisitDaMonInProgress"                    "还没有给【达摩祖师】送信吗？"
    "VisitDaMoFinish"                       "这是给你的奖励。"

    "KillingTask"                           "阳寿已尽任务"
    "KillingTaskAccept"                     "老夫夜观天象，【#{random}】阳寿已尽，请速去杀掉他！"
    "KillingTaskInProgress"                  "还没有杀掉【#{random}】送信吗？"
    "KillingTaskFinish"                     "这是给你的奖励。"

	"Noquest"								"我已经没有任务给你了。"

}
